iter	Passed	Remaining
339	46653	90562
340	46790	90424
341	46935	90302
342	47117	90250
343	47257	90118
344	47383	89960
345	47504	89791
346	47628	89628
347	47765	89491
348	47904	89358
349	48032	89203
350	48169	89064
351	48292	88902
352	48419	88745
353	48542	88583
354	48682	88450
355	48821	88316
356	48953	88170
357	49098	88048
358	49231	87902
359	49355	87742
360	49478	87580
361	49617	87447
362	49744	87293
363	49875	87145
364	50007	86999
365	50144	86863
366	50277	86718
367	50399	86556
368	50529	86405
369	50653	86248
370	50775	86085
371	50918	85958
372	51042	85800
373	51165	85640
374	51287	85479
375	51408	85315
376	51526	85149
377	51677	85036
378	51797	84871
379	51922	84716
380	52056	84575
381	52191	84435
382	52327	84297
383	52451	84141
384	52577	83986
385	52700	83828
386	52830	83682
387	52973	83555
388	53096	83397
389	53223	83247
390	53354	83101
391	53484	82956
392	53600	82788
393	53722	82629
394	53852	82482
395	54009	82378
396	54139	82231
397	54266	82081
398	54385	81919
399	54509	81763
400	54643	81624
401	54770	81473
402	54891	81314
403	55019	81167
404	55160	81038
405	55298	80903
406	55423	80752
407	55556	80610
408	55694	80477
409	55828	80337
410	55943	80171
411	56078	80033
412	56208	79889
413	56345	79754
414	56474	79608
415	56602	79461
416	56732	79316
417	56851	79157
418	56970	78997
419	57102	78855
420	57228	78705
421	57360	78565
422	57481	78408
423	57604	78255
424	57722	78094
425	57844	77941
426	57968	77789
427	58096	77643
428	58240	77518
429	58375	77380
430	58502	77234
431	58631	77090
432	58756	76939
433	58897	76810
434	59032	76673
435	59158	76526
436	59316	76419
437	59456	76288
438	59585	76144
439	59712	75997
440	59833	75843
441	59950	75683
442	60076	75536
443	60200	75386
444	60314	75223
445	60438	75074
446	60578	74943
447	60692	74782
448	60823	74641
449	61028	74590
450	61172	74465
451	61314	74336
452	61446	74197
453	61589	74069
454	61715	73922
455	61838	73772
456	61960	73620
457	62083	73469
458	62205	73318
459	62340	73182
460	62464	73033
461	62605	72904
462	62734	72760
463	62853	72607
464	62978	72459
465	63107	72316
466	63232	72169
467	63355	72019
468	63485	71877
469	63604	71724
470	63741	71591
471	63862	71438
472	63988	71293
473	64112	71145
474	64245	71007
475	64389	70882
476	64508	70729
477	64635	70585
478	64759	70437
479	64880	70287
480	64999	70134
481	65131	69996
482	65250	69843
483	65371	69693
484	65496	69547
485	65638	69419
486	65759	69270
487	65872	69112
488	65998	68967
489	66127	68826
490	66253	68682
491	66375	68533
492	66495	68383
493	66614	68232
494	66728	68076
495	66865	67943
496	66984	67792
497	67103	67642
498	67230	67499
499	67353	67353
500	67499	67229
501	67618	67080
502	67739	66931
503	67863	66786
504	67981	66635
505	68103	66488
506	68228	66344
507	68345	66193
508	68466	66045
509	68588	65898
510	68727	65768
511	68848	65621
512	68975	65480
513	69102	65337
514	69239	65206
515	69398	65095
516	69525	64953
517	69658	64817
518	69796	64686
519	69926	64547
520	70060	64412
521	70200	64283
522	70319	64135
523	70441	63989
524	70563	63843
525	70710	63720
526	70860	63599
527	70997	63467
528	71135	63336
529	71269	63201
530	71420	63081
531	71549	62941
532	71671	62796
533	71812	62667
534	71944	62531
535	72074	62393
536	72192	62243
537	72323	62106
538	72453	61968
539	72587	61833
540	72715	61694
541	72846	61556
542	72969	61412
543	73097	61272
544	73267	61168
545	73416	61045
546	73540	60902
547	73680	60772
548	73800	60626
549	73922	60481
550	74089	60373
551	74248	60259
552	74391	60132
553	74533	60003
554	74656	59859
555	74784	59720
556	74942	59603
557	75067	59462
558	75188	59316
559	75314	59175
560	75436	59031
561	75548	58879
562	75672	58736
563	75793	58591
564	75904	58440
565	76030	58298
566	76148	58151
567	76266	58005
568	76390	57863
569	76506	57715
570	76640	57580
571	76768	57441
572	76884	57294
573	76999	57146
574	77118	57000
575	77242	56859
576	77376	56724
577	77507	56588
578	77659	56467
579	77796	56335
580	77938	56206
581	78092	56086
582	78209	55940
583	78337	55802
584	78468	55665
585	78606	55534
586	78739	55399
587	78871	55263
588	78998	55124
589	79153	55004
590	79288	54871
591	79415	54732
592	79543	54594
593	79695	54472
594	79845	54348
595	79969	54207
596	80101	54072
597	80228	53933
598	80350	53790
599	80480	53653
600	80618	53521
601	80741	53380
602	80886	53253
603	81039	53132
604	81161	52989
605	81286	52849
606	81409	52708
607	81531	52566
608	81653	52424
609	81783	52287
610	81916	52153
611	82062	52026
612	82193	51890
613	82337	51762
614	82477	51632
615	82594	51487
616	82725	51351
617	82859	51217
618	83043	51113
619	83165	50972
620	83293	50834
621	83436	50705
622	83588	50582
623	83734	50455
624	83862	50317
625	83984	50176
626	84105	50034
627	84225	49891
628	84352	49753
629	84490	49621
630	84624	49487
631	84759	49353
632	84894	49220
633	85025	49084
634	85155	48947
635	85284	48810
636	85415	48675
637	85549	48540
638	85680	48404
639	85811	48268
640	85939	48131
641	86072	47996
642	86201	47860
643	86329	47722
644	86453	47582
645	86569	47438
646	86696	47301
647	86843	47174
648	86983	47043
649	87107	46904
650	87246	46772
651	87381	46639
652	87501	46497
653	87634	46363
654	87751	46220
655	87889	46088
656	88016	45950
657	88158	45820
658	88296	45689
659	88433	45556
660	88572	45425
661	88715	45296
662	88851	45162
663	88972	45022
664	89121	44895
665	89259	44763
666	89404	44635
667	89558	44511
668	89740	44400
669	89897	44278
670	90034	44145
671	90171	44012
672	90301	43876
673	90437	43742
674	90566	43606
675	90696	43470
676	90837	43339
677	90993	43215
678	91118	43076
679	91251	42941
680	91382	42806
681	91519	42673
682	91645	42535
683	91768	42395
684	91883	42252
685	92024	42122
686	92148	41983
687	92265	41841
688	92376	41696
689	92505	41560
690	92631	41422
691	92757	41285
692	92888	41149
693	93022	41015
694	93153	40880
695	93281	40743
696	93407	40606
697	93526	40465
698	93652	40328
699	93778	40190
700	93908	40055
701	94051	39925
702	94189	39792
703	94316	39655
704	94458	39525
705	94577	39384
706	94696	39244
707	94817	39105
708	94939	38966
709	95074	38833
710	95193	38693
711	95344	38566
712	95466	38427
713	95584	38287
714	95700	38146
715	95823	38008
716	95941	37868
717	96071	37732
718	96196	37595
719	96322	37458
720	96451	37323
721	96576	37186
722	96700	37048
723	96816	36908
724	96943	36771
725	97067	36634
726	97206	36502
727	97328	36364
728	97449	36225
729	97567	36086
730	97694	35950
731	97818	35813
732	97972	35687
733	98103	35552
734	98239	35419
735	98371	35285
736	98500	35150
737	98618	35010
738	98754	34878
739	98883	34742
740	99023	34611
741	99158	34478
742	99289	34343
743	99430	34212
744	99571	34081
745	99704	33947
746	99832	33811
747	99993	33687
748	100147	33560
749	100321	33440
750	100474	33313
751	100606	33178
752	100745	33046
753	100885	32914
754	101020	32781
755	101206	32664
756	101365	32538
757	101502	32405
758	101636	32271
759	101770	32138
760	101891	32000
761	102016	31863
762	102140	31726
763	102268	31590
764	102386	31452
765	102506	31313
766	102637	31179
767	102767	31044
768	102949	30925
769	103087	30792
770	103254	30668
771	103363	30526
772	103480	30388
773	103617	30255
774	103738	30117
775	103849	29977
776	103984	29843
777	104139	29715
778	104242	29573
779	104322	29424
780	104419	29280
781	104512	29135
782	104608	28991
783	104699	28845
784	104795	28702
785	104890	28558
786	104978	28412
787	105077	28269
788	105182	28128
789	105300	27991
790	105395	27847
791	105488	27704
792	105588	27562
793	105695	27422
794	105785	27277
795	105911	27143
796	106022	27004
797	106123	26863
798	106219	26721
799	106335	26583
800	106436	26443
801	106553	26306
802	106639	26161
803	106730	26018
804	106864	25886
805	106962	25745
806	107085	25610
807	107187	25470
808	107282	25328
809	107368	25185
810	107468	25045
811	107571	24905
812	107661	24763
813	107753	24621
814	107844	24480
815	107957	24343
816	108049	24202
817	108157	24064
818	108241	23921
819	108330	23779
820	108418	23638
821	108515	23498
822	108620	23360
823	108705	23218
824	108799	23078
825	108881	22936
826	108970	22795
827	109082	22659
828	109184	22521
829	109276	22381
830	109373	22243
831	109471	22104
832	109562	21965
833	109647	21824
834	109730	21683
835	109814	21542
836	109923	21406
837	110033	21271
838	110131	21133
839	110219	20994
840	110299	20853
841	110407	20717
842	110532	20585
843	110622	20446
844	110707	20307
845	110791	20167
846	110909	20034
847	111005	19897
848	111100	19759
849	111205	19624
850	111290	19485
851	111380	19347
852	111466	19209
853	111558	19072
854	111651	18935
855	111768	18802
856	111858	18664
857	111950	18527
858	112051	18392
859	112148	18256
860	112244	18120
861	112342	17985
862	112425	17847
863	112518	17711
864	112616	17575
865	112703	17439
866	112788	17301
867	112910	17170
868	113001	17034
869	113106	16901
870	113198	16765
871	113285	16629
872	113383	16494
873	113478	16359
874	113588	16226
875	113682	16092
876	113801	15960
877	113899	15826
878	114006	15693
879	114132	15563
880	114267	15434
881	114367	15300
882	114449	15164
883	114530	15028
884	114623	14894
885	114707	14759
886	114792	14624
887	114882	14489
888	114969	14355
889	115069	14222
890	115177	14090
891	115262	13955
892	115345	13820
893	115440	13687
894	115543	13555
895	115662	13425
896	115775	13294
897	115869	13161
898	115965	13028
899	116079	12897
900	116211	12769
901	116326	12638
902	116420	12505
903	116537	12375
904	116641	12244
905	116750	12113
906	116861	11982
907	116947	11849
908	117049	11717
909	117160	11587
910	117245	11454
911	117332	11321
912	117431	11190
913	117554	11060
914	117642	10928
915	117759	10798
916	117851	10667
917	117945	10535
918	118045	10404
919	118170	10275
920	118273	10145
921	118370	10013
922	118473	9883
923	118587	9753
924	118696	9624
925	118802	9493
926	118886	9362
927	118971	9230
928	119089	9101
929	119193	8971
930	119293	8841
931	119390	8710
932	119495	8581
933	119615	8452
934	119736	8323
935	119821	8192
936	119921	8063
937	120039	7934
938	120139	7804
939	120227	7674
940	120327	7544
941	120413	7414
942	120501	7283
943	120598	7154
944	120714	7025
945	120810	6896
946	120926	6767
947	121048	6639
948	121176	6512
949	121263	6382
950	121355	6252
951	121470	6124
952	121571	5995
953	121676	5867
954	121772	5737
955	121861	5608
956	121957	5479
957	122074	5351
958	122172	5223
959	122276	5094
960	122358	4965
961	122448	4836
962	122529	4707
963	122611	4578
964	122723	4451
965	122815	4322
966	122910	4194
967	123028	4067
968	123127	3939
969	123219	3810
970	123338	3683
971	123434	3555
972	123526	3427
973	123629	3300
974	123711	3172
975	123836	3045
976	123928	2917
977	124025	2789
978	124113	2662
979	124214	2534
980	124322	2407
981	124412	2280
982	124503	2153
983	124590	2025
984	124691	1898
985	124824	1772
986	124923	1645
987	125032	1518
988	125135	1391
989	125245	1265
990	125372	1138
991	125458	1011
992	125551	885
993	125646	758
994	125758	631
995	125869	505
996	125969	379
997	126111	252
998	126214	126
999	126311	0
