iter	MultiClass
335	1.120873209
336	1.120712128
337	1.120613961
338	1.120566411
339	1.120379852
340	1.120267628
341	1.120176003
342	1.120075909
343	1.119961531
344	1.119892408
345	1.119802805
346	1.119689374
347	1.119619124
348	1.119499143
349	1.119335985
350	1.119208716
351	1.119185229
352	1.119080156
353	1.118897979
354	1.118792804
355	1.118689134
356	1.118614127
357	1.118504483
358	1.118433171
359	1.118383542
360	1.118250476
361	1.118166501
362	1.118022984
363	1.117884697
364	1.117820809
365	1.117694155
366	1.117646996
367	1.117623587
368	1.117363391
369	1.117249906
370	1.11723165
371	1.117071943
372	1.117003618
373	1.116973248
374	1.116798247
375	1.116673285
376	1.116602005
377	1.116515654
378	1.116447684
379	1.116355566
380	1.116283008
381	1.116215642
382	1.116149315
383	1.116071792
384	1.115896367
385	1.115794839
386	1.115692128
387	1.115558296
388	1.115479089
389	1.115372757
390	1.11531265
391	1.115215577
392	1.115149274
393	1.114997953
394	1.11482338
395	1.114714584
396	1.11469255
397	1.114588518
398	1.114512723
399	1.114411816
400	1.114296
401	1.114252871
402	1.114178231
403	1.114140152
404	1.114068773
405	1.113928248
406	1.113708396
407	1.113494255
408	1.113397286
409	1.113366247
410	1.113320282
411	1.113268926
412	1.113210974
413	1.113165658
414	1.113089185
415	1.113053961
416	1.112983811
417	1.112916244
418	1.11286243
419	1.112828891
420	1.112737241
421	1.112568792
422	1.112444006
423	1.112353388
424	1.112339817
425	1.112263881
426	1.112229699
427	1.112183303
428	1.112020779
429	1.111878053
430	1.111840034
431	1.111810139
432	1.111772967
433	1.111677162
434	1.111597467
435	1.111537914
436	1.111427656
437	1.111337214
438	1.11126944
439	1.111125183
440	1.11103007
441	1.110973747
442	1.110873494
443	1.110827571
444	1.110756436
445	1.110706574
446	1.110648501
447	1.110588988
448	1.110480703
449	1.110449491
450	1.11020052
451	1.110146789
452	1.110070368
453	1.109979752
454	1.109879138
455	1.109775116
456	1.109674924
457	1.109612931
458	1.109577738
459	1.109470871
460	1.109435964
461	1.109297154
462	1.109263863
463	1.109228811
464	1.10910945
465	1.108955089
466	1.108816001
467	1.108778579
468	1.108579972
469	1.108516737
470	1.108402068
471	1.108265282
472	1.108186858
473	1.108103775
474	1.108021513
475	1.107949433
476	1.107897894
477	1.107836391
478	1.107728576
479	1.107674218
480	1.107552624
481	1.107532461
482	1.107490027
483	1.107395563
484	1.107258986
485	1.107191513
486	1.107107519
487	1.106995076
488	1.106890082
489	1.106795326
490	1.10661236
491	1.10657321
492	1.106470332
493	1.106437122
494	1.10636054
495	1.106207951
496	1.106158573
497	1.106145014
498	1.106106956
499	1.106021238
500	1.10597018
501	1.105859663
502	1.10571245
503	1.105667088
504	1.105585399
505	1.105543144
506	1.10551794
507	1.105449844
508	1.10535233
509	1.105256054
510	1.105215849
511	1.105145342
512	1.105121702
513	1.104994763
514	1.104923501
515	1.104742054
516	1.104711936
517	1.104630011
518	1.104566773
519	1.104520838
520	1.104452241
521	1.104396407
522	1.104218082
523	1.104153185
524	1.104117523
525	1.104082615
526	1.103885391
527	1.103809816
528	1.103654194
529	1.103568717
530	1.103516034
531	1.103479632
532	1.103456427
533	1.103389485
534	1.103333793
535	1.103233714
536	1.103165318
537	1.102998919
538	1.102905968
539	1.102791078
540	1.102705304
541	1.102617835
542	1.102580692
543	1.102454447
544	1.102412613
545	1.102301073
546	1.102258986
547	1.102158556
548	1.102074475
549	1.102033156
550	1.101919776
551	1.101884175
552	1.101777445
553	1.101720445
554	1.101697073
555	1.101582739
556	1.1015119
557	1.101457654
558	1.101392567
559	1.101167668
560	1.100995813
561	1.100963615
562	1.100823762
563	1.100743153
564	1.100680358
565	1.100619884
566	1.100475809
567	1.100400911
568	1.100241361
569	1.100206383
570	1.100159169
571	1.100093001
572	1.100000951
573	1.099961013
574	1.099894944
575	1.099729182
576	1.099670562
577	1.09964013
578	1.09959002
579	1.099521805
580	1.099499585
581	1.099334581
582	1.099314168
583	1.099258656
584	1.09916497
585	1.09908825
586	1.099042315
587	1.098935543
588	1.098863652
589	1.098811957
590	1.098742141
591	1.098646059
592	1.098602666
593	1.098525914
594	1.0984479
595	1.098427065
596	1.098283555
597	1.098246301
598	1.098171263
599	1.098100724
600	1.098060791
601	1.097970539
602	1.097890927
603	1.097807915
604	1.097767155
605	1.097681836
606	1.097647916
607	1.097585595
608	1.097496177
609	1.097289398
610	1.097217522
611	1.097134064
612	1.097038015
613	1.097011657
614	1.096923992
615	1.096902576
616	1.096871096
617	1.096785948
618	1.096642508
619	1.096560237
620	1.096552362
621	1.096438763
622	1.096352754
623	1.096246954
624	1.096221923
625	1.096160717
626	1.096087992
627	1.09604197
628	1.095950277
629	1.095846415
630	1.095795936
631	1.095653085
632	1.095567568
633	1.095405999
634	1.095311715
635	1.095272266
636	1.095242695
637	1.095125647
638	1.095063548
639	1.094887902
640	1.094788168
641	1.094710323
642	1.094618542
643	1.094498849
644	1.094442727
645	1.094383218
646	1.094249851
647	1.094106663
648	1.093967989
649	1.093868338
650	1.093790683
651	1.093726352
652	1.093672347
653	1.093560022
654	1.093532046
655	1.093486816
656	1.093446658
657	1.093387732
658	1.093344288
659	1.093279628
660	1.09325621
661	1.093211351
662	1.093055921
663	1.093034033
664	1.092964428
665	1.092875411
666	1.092750476
667	1.092622746
668	1.092529269
669	1.092504922
670	1.092372246
671	1.092350322
672	1.092257855
673	1.092227192
674	1.09217947
675	1.092154678
676	1.092042596
677	1.091961003
678	1.091940784
679	1.091890177
680	1.091777182
681	1.091708023
682	1.091683607
683	1.091611606
684	1.091527257
685	1.091382241
686	1.091300296
687	1.091256342
688	1.09121339
689	1.091145152
690	1.091070794
691	1.090989524
692	1.090880138
693	1.090839576
694	1.090752482
695	1.090435754
696	1.090380215
697	1.090341493
698	1.090314335
699	1.090254565
700	1.09015348
701	1.090115104
702	1.090036196
703	1.089949437
704	1.08986781
705	1.089810342
706	1.089767621
707	1.089673724
708	1.089652138
709	1.089626075
710	1.089523352
711	1.089460332
712	1.089356379
713	1.089298026
714	1.089287788
715	1.089251743
716	1.089231645
717	1.089160106
718	1.089127327
719	1.089071479
720	1.088933007
721	1.088871821
722	1.088775409
723	1.088758813
724	1.088688363
725	1.088638381
726	1.088555136
727	1.088520261
728	1.088418939
729	1.088399678
730	1.088321465
731	1.088255208
732	1.088184242
733	1.088103355
734	1.088041155
735	1.087958703
736	1.087909335
737	1.087811316
738	1.087707037
739	1.087653181
740	1.087621849
741	1.087572085
742	1.087552179
743	1.087475749
744	1.087389839
745	1.087294918
746	1.087256721
747	1.08719649
748	1.087122219
749	1.087067366
750	1.087041623
751	1.08698225
752	1.086900227
753	1.086825276
754	1.086761678
755	1.08664842
756	1.086527686
757	1.08644072
758	1.086384288
759	1.086262069
760	1.08617435
761	1.086085049
762	1.085979579
763	1.085917928
764	1.085885902
765	1.085850768
766	1.085810228
767	1.085746584
768	1.085660982
769	1.085601918
770	1.08551778
771	1.085454348
772	1.085379451
773	1.085339631
774	1.085233456
775	1.085177765
776	1.085073949
777	1.0850443
778	1.084946931
779	1.084885153
780	1.084818172
781	1.084797261
782	1.084731383
783	1.084560131
784	1.084494147
785	1.084374635
786	1.084292547
787	1.084153081
788	1.084070898
789	1.084035185
790	1.084002047
791	1.083915405
792	1.083857207
793	1.083824829
794	1.083785203
795	1.083655428
796	1.083535649
797	1.083431513
798	1.08333892
799	1.083250974
800	1.083184921
801	1.083037492
802	1.08296127
803	1.082882611
804	1.082823066
805	1.08275304
806	1.082669884
807	1.082616276
808	1.082522003
809	1.082478464
810	1.082439387
811	1.082369788
812	1.082299864
813	1.082235918
814	1.082187269
815	1.082065787
816	1.082039708
817	1.081975214
818	1.081935901
819	1.081867833
820	1.081810668
821	1.081753107
822	1.081695021
823	1.081660869
824	1.081621821
825	1.081558092
826	1.081519985
827	1.081457003
828	1.081414337
829	1.081297101
830	1.081247507
831	1.08117809
832	1.081117767
833	1.081069796
834	1.081008429
835	1.080941644
836	1.080840137
837	1.080791758
838	1.080722768
839	1.080673205
840	1.080608419
841	1.080532835
842	1.080520335
843	1.08048516
844	1.080278563
845	1.080263232
846	1.080203577
847	1.080152973
848	1.080060046
849	1.080027501
850	1.07997043
851	1.079877621
852	1.079836947
853	1.079786726
854	1.079766269
855	1.079713283
856	1.079641481
857	1.079592472
858	1.079493895
859	1.079446171
860	1.079434059
861	1.079390211
862	1.07935403
863	1.079222025
864	1.079196637
865	1.079132807
866	1.079059233
867	1.078969099
868	1.078906969
869	1.078789053
870	1.078771521
871	1.078689473
872	1.078623269
873	1.078552003
874	1.078504795
875	1.078451193
876	1.078413701
877	1.078354593
878	1.078263531
879	1.078218438
880	1.07819514
881	1.078080209
882	1.078060887
883	1.078047065
884	1.078012268
885	1.077910494
886	1.077882585
887	1.077792475
888	1.077761657
889	1.077590739
890	1.077513911
891	1.077493069
892	1.077371692
893	1.077200589
894	1.077191851
895	1.077102233
896	1.077025137
897	1.076917828
898	1.076879291
899	1.076814694
900	1.076788813
901	1.076764826
902	1.076660262
903	1.076623521
904	1.076513369
905	1.076434338
906	1.076391738
907	1.076330841
908	1.076249789
909	1.076184306
910	1.07616002
911	1.076085806
912	1.076064685
913	1.0759812
914	1.075883569
915	1.075837268
916	1.075760121
917	1.075741819
918	1.075650322
919	1.075493956
920	1.075359237
921	1.075318231
922	1.075260362
923	1.075211678
924	1.075137077
925	1.075020718
926	1.074976112
927	1.0749398
928	1.0748697
929	1.074749227
930	1.07469479
931	1.074651397
932	1.074597337
933	1.074502259
934	1.074461097
935	1.074431428
936	1.074377327
937	1.074337646
938	1.074264747
939	1.07423854
940	1.074169649
941	1.07413666
942	1.074033503
943	1.073881839
944	1.073850704
945	1.073804213
946	1.073715494
947	1.073625754
948	1.07351548
949	1.073461758
950	1.07343816
951	1.073397589
952	1.07334139
953	1.073286851
954	1.073205706
955	1.073140501
956	1.073113518
957	1.073035859
958	1.072955587
959	1.072914789
960	1.072779348
961	1.072737292
962	1.072680482
963	1.072639579
964	1.07256199
965	1.072470011
966	1.07236597
967	1.072266084
968	1.072210423
969	1.072159474
970	1.072082335
971	1.072075743
972	1.071993444
973	1.07192154
974	1.071831117
975	1.071752032
976	1.071749452
977	1.071651747
978	1.071620124
979	1.071513067
980	1.071427179
981	1.071366722
982	1.071306165
983	1.071246665
984	1.071145063
985	1.071026098
986	1.070974408
987	1.070929912
988	1.070875761
989	1.070831576
990	1.070745115
991	1.070683513
992	1.070628485
993	1.070578429
994	1.070508267
995	1.070489452
996	1.070439325
997	1.070336077
998	1.070251965
999	1.070167178
